Id,Designator,Footprint,Quantity,Part Number,Manufacturer,Description,Value,Supplier and ref,Notes
1,"R1,R3,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,AC0805FR-0715KL,YAGEO,RES SMD 15K OHM 1% 1/8W 0805,15K,Digikey,
2,"C9,C10",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,C1206C104K5RACTU,KEMET,CAP CER 0.1UF 50V X7R 1206,100n,Digikey,
3,"R12,R11,R10",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,RC0805FR-0751RL,YAGEO,RES 51 OHM 1% 1/8W 0805,51,Digikey,
4,"R8,R5,R6,R9,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,AC0805FR-0710KL,YAGEO,RES SMD 10K OHM 1% 1/8W 0805,10K,Digikey,
5,"C1,C3,C2",C_Rect_L7.0mm_W3.5mm_P5.00mm,3,R82EC2100AA50J,KEMET,CAP FILM 10000PF 5% 100VDC RAD,10n,Digikey,
6,J1,Banana_Jack_1Pin,1,72930-2,Pomona Electronics,CONN BANANA JACK THRD RED,Banana_Red,Digikey,
8,"R13,R16",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,RC0805FR-0775KL,YAGEO,RES 75K OHM 1% 1/8W 0805,75K,Digikey,
9,"R14,R15",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,RC0805FR-07220KL,YAGEO,RES 220K OHM 1% 1/8W 0805,220K,Digikey,
10,"C8,C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,GCM31CR71H225KA55L,Murata Electronics,CAP CER 2.2UF 50V X7R 1206,2.2u,Digikey,
11,U3,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,1,LM27762DSSR,Texas Instruments,IC REG CHARGE PUMP ADJ DL 12WSON,LM27762,Digikey,
12,"J3,J4",SMA_Amphenol_132134_Vertical,2,132134,Amphenol RF,CONN SMA JACK STR 50 OHM PCB,132134,Digikey,
13,J2,Banana_Jack_1Pin,1,72930-0,Pomona Electronics,CONN BANANA JACK THRD BLACK,Banana_Black,Digikey,
14,D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,Do not install,,,,,
15,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,2,TLV9302IDR,Texas Instruments,IC OPAMP GP 2 CIRCUIT 8SOIC,TLV9302xD,Digikey,
16,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,RC0805FR-07100KL,YAGEO,RES 100K OHM 1% 1/8W 0805,100K,Digikey,
17,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,C1206C105K3RACTU,KEMET,CAP CER 1UF 25V X7R 1206,1u,Digikey,
18,"C5,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,C3216X7R1E475K160AC,TDK Corporation,CAP CER 4.7UF 25V X7R 1206,4.7u,Digikey,
19,J6,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB4125-GF-A,GCT,CONN RCPT TYPE C 6P SMD RA,USB4125-GF-A,Digikey,
20,"R17,R18",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,RC0805JR-075K1L,YAGEO,RES 5.1K OHM 5% 1/8W 0805,5.1K,Digikey,
